Datetime,open_time,open,high,low,close,volume
2024-04-10 01:11:00,1712682660000,68648.47,68648.48,68210.0,68235.84,413.89721
2024-04-10 01:12:00,1712682720000,68235.84,68496.0,68235.84,68459.18,125.29817
2024-04-10 01:13:00,1712682780000,68459.18,68459.19,68322.44,68415.49,84.8971
2024-04-10 01:14:00,1712682840000,68415.49,68459.18,68346.15,68395.99,47.56262
2024-04-10 01:15:00,1712682900000,68396.0,68396.0,68296.38,68361.28,59.57018
2024-04-10 01:16:00,1712682960000,68361.27,68361.28,68255.99,68349.71,76.04073
2024-04-10 01:17:00,1712683020000,68349.72,68496.44,68324.01,68496.43,57.06185
2024-04-10 01:18:00,1712683080000,68496.43,68580.28,68488.0,68552.0,59.74987
2024-04-10 01:19:00,1712683140000,68552.0,68576.0,68452.76,68541.06,53.48004
2024-04-10 01:20:00,1712683200000,68541.06,68555.99,68452.01,68509.93,57.54664
2024-04-10 01:21:00,1712683260000,68509.92,68663.55,68509.92,68663.55,59.09333
2024-04-10 01:22:00,1712683320000,68663.54,68700.0,68640.24,68678.11,47.18873
2024-04-10 01:23:00,1712683380000,68678.11,68755.99,68678.11,68723.99,38.77509
2024-04-10 01:24:00,1712683440000,68723.99,68743.0,68708.62,68713.73,25.53583
2024-04-10 01:25:00,1712683500000,68713.73,68804.98,68708.62,68804.97,31.60869
2024-04-10 01:26:00,1712683560000,68804.98,68894.3,68804.97,68843.52,39.45295
2024-04-10 01:27:00,1712683620000,68843.52,68848.0,68760.78,68766.25,34.54027
2024-04-10 01:28:00,1712683680000,68766.25,68794.4,68731.85,68794.4,14.99421
2024-04-10 01:29:00,1712683740000,68794.39,68816.0,68760.03,68790.77,14.2216
2024-04-10 01:30:00,1712683800000,68790.76,68840.55,68760.06,68840.54,19.44527
2024-04-10 01:31:00,1712683860000,68840.54,68884.0,68811.61,68863.23,29.95442
2024-04-10 01:32:00,1712683920000,68863.22,68896.11,68840.54,68856.01,38.74529
2024-04-10 01:33:00,1712683980000,68856.01,68856.01,68753.78,68771.59,22.25642
2024-04-10 01:34:00,1712684040000,68771.59,68806.76,68771.59,68806.75,14.85387
2024-04-10 01:35:00,1712684100000,68806.75,68873.46,68780.01,68780.02,19.7968
2024-04-10 01:36:00,1712684160000,68780.02,68836.01,68772.46,68799.17,11.82377
2024-04-10 01:37:00,1712684220000,68799.16,68815.77,68772.06,68796.67,16.07332
2024-04-10 01:38:00,1712684280000,68796.67,68855.98,68788.0,68834.41,21.7359
2024-04-10 01:39:00,1712684340000,68834.4,68861.63,68809.79,68861.63,12.99909
2024-04-10 01:40:00,1712684400000,68861.62,68956.23,68856.0,68907.41,29.35182
2024-04-10 01:41:00,1712684460000,68907.41,68948.0,68893.14,68918.35,15.37772
2024-04-10 01:42:00,1712684520000,68918.35,68918.62,68826.13,68839.23,23.07131
2024-04-10 01:43:00,1712684580000,68839.22,68860.0,68822.41,68822.42,9.4233
2024-04-10 01:44:00,1712684640000,68822.41,68862.72,68822.41,68856.11,13.23879
2024-04-10 01:45:00,1712684700000,68856.12,68856.12,68801.84,68854.43,14.14864
2024-04-10 01:46:00,1712684760000,68854.43,68854.43,68767.44,68796.49,19.95885
2024-04-10 01:47:00,1712684820000,68796.5,68796.5,68713.84,68715.47,33.09934
2024-04-10 01:48:00,1712684880000,68715.46,68822.42,68705.88,68822.41,14.64061
2024-04-10 01:49:00,1712684940000,68822.41,68869.47,68788.49,68869.47,17.99272
2024-04-10 01:50:00,1712685000000,68865.84,68962.43,68856.0,68920.15,34.54227
2024-04-10 01:51:00,1712685060000,68920.14,68948.0,68887.89,68908.14,20.75877
2024-04-10 01:52:00,1712685120000,68908.13,68908.14,68795.6,68795.61,13.22037
2024-04-10 01:53:00,1712685180000,68795.6,68812.0,68769.03,68804.51,17.42932
2024-04-10 01:54:00,1712685240000,68804.52,68820.0,68773.74,68773.74,8.66428
2024-04-10 01:55:00,1712685300000,68773.74,68832.0,68773.74,68831.99,18.73994
2024-04-10 01:56:00,1712685360000,68832.0,68832.0,68797.57,68820.01,11.75087
2024-04-10 01:57:00,1712685420000,68820.0,68851.44,68806.75,68806.76,8.89921
2024-04-10 01:58:00,1712685480000,68806.75,68859.5,68802.0,68859.49,9.7665
2024-04-10 01:59:00,1712685540000,68859.49,68859.5,68802.01,68823.99,22.65538
2024-04-10 02:00:00,1712685600000,68823.99,68884.13,68812.01,68813.59,21.79837
2024-04-10 02:01:00,1712685660000,68813.58,68832.49,68807.09,68808.01,15.97078
2024-04-10 02:02:00,1712685720000,68808.01,68850.84,68784.0,68844.01,10.50012
2024-04-10 02:03:00,1712685780000,68844.0,68856.0,68824.97,68824.98,8.808
2024-04-10 02:04:00,1712685840000,68824.98,68936.17,68793.16,68917.55,26.71899
2024-04-10 02:05:00,1712685900000,68917.55,68941.37,68892.0,68940.67,11.98694
2024-04-10 02:06:00,1712685960000,68940.67,68940.68,68888.0,68896.01,13.82893
2024-04-10 02:07:00,1712686020000,68896.0,68896.01,68831.16,68831.16,7.92245
2024-04-10 02:08:00,1712686080000,68831.17,68831.17,68769.79,68798.8,32.25599
2024-04-10 02:09:00,1712686140000,68798.8,68918.84,68798.8,68871.71,20.58951
2024-04-10 02:10:00,1712686200000,68871.71,68872.0,68833.0,68844.55,25.58181
2024-04-10 02:11:00,1712686260000,68844.54,68885.93,68828.53,68854.43,15.02656
2024-04-10 02:12:00,1712686320000,68854.43,68863.33,68822.49,68858.84,10.01992
2024-04-10 02:13:00,1712686380000,68858.84,68860.0,68820.0,68832.0,16.36523
2024-04-10 02:14:00,1712686440000,68832.0,68860.01,68806.76,68806.77,13.74873
2024-04-10 02:15:00,1712686500000,68806.77,68808.0,68781.84,68800.0,13.00329
2024-04-10 02:16:00,1712686560000,68799.99,68831.99,68789.56,68828.01,13.6558
2024-04-10 02:17:00,1712686620000,68828.01,68865.88,68828.0,68844.55,10.51165
2024-04-10 02:18:00,1712686680000,68844.56,68908.0,68833.67,68908.0,10.07925
2024-04-10 02:19:00,1712686740000,68907.99,68918.84,68886.4,68886.41,12.04264
2024-04-10 02:20:00,1712686800000,68886.4,68890.55,68870.2,68877.08,6.24503
2024-04-10 02:21:00,1712686860000,68877.08,68918.8,68877.08,68918.79,6.76938
2024-04-10 02:22:00,1712686920000,68918.79,69025.89,68918.78,68976.25,89.8175
2024-04-10 02:23:00,1712686980000,68976.25,68990.04,68966.03,68966.04,18.18705
2024-04-10 02:24:00,1712687040000,68966.04,68966.04,68885.16,68885.16,11.92501
2024-04-10 02:25:00,1712687100000,68885.16,68955.21,68885.16,68939.23,11.07295
2024-04-10 02:26:00,1712687160000,68939.24,68952.0,68889.0,68926.32,16.5967
2024-04-10 02:27:00,1712687220000,68926.32,68991.99,68926.32,68991.98,11.03254
2024-04-10 02:28:00,1712687280000,68991.99,69000.0,68978.63,68985.1,25.51827
2024-04-10 02:29:00,1712687340000,68985.11,68994.96,68956.0,68967.99,14.03737
2024-04-10 02:30:00,1712687400000,68968.0,68976.0,68952.86,68960.02,7.79253
2024-04-10 02:31:00,1712687460000,68960.02,68983.99,68943.05,68963.99,10.54925
2024-04-10 02:32:00,1712687520000,68963.98,68976.01,68956.0,68967.21,5.99194
2024-04-10 02:33:00,1712687580000,68967.2,68996.0,68944.0,68944.01,7.96189
2024-04-10 02:34:00,1712687640000,68944.01,68955.71,68936.15,68955.7,9.42521
2024-04-10 02:35:00,1712687700000,68955.71,68998.8,68941.89,68941.9,13.92296
2024-04-10 02:36:00,1712687760000,68941.9,68996.01,68941.89,68980.0,15.2239
2024-04-10 02:37:00,1712687820000,68980.0,68980.01,68945.34,68960.01,7.70887
2024-04-10 02:38:00,1712687880000,68960.01,68969.63,68900.88,68910.71,26.50584
2024-04-10 02:39:00,1712687940000,68910.71,68910.72,68860.0,68867.49,6.06066
2024-04-10 02:40:00,1712688000000,68867.49,68868.0,68844.56,68868.0,7.88908
2024-04-10 02:41:00,1712688060000,68867.99,68868.0,68848.91,68859.18,6.95665
2024-04-10 02:42:00,1712688120000,68859.19,68859.19,68848.86,68848.86,5.69766
